name,base_plan,address,services,comorbidities,values,date
Bio Cross,Basic+,"R. Chile, 1521 - Jardim Consolacao, Franca - SP, 14400-110, Brasil",Crosstraining,"Armários,Espaço adaptado para cadeira de rodas,Wi-Fi",89.9,2025-01-25
Studio Fitness Fitclub,Basic+,"R. Ibiraci, 266 - Jardim Francano, Franca - SP, 14405-014, Brasil","Bike Indoor,Condicionamento funcional,Musculação","Armários,Cadeado e chave,Chuveiro,Personal trainer,Vestiário,Wi-Fi",89.9,2025-01-25
Equilibrium - Cuidamos de você,Silver,"R. Cavalheiro Ângelo Presotto, 327 - São José, Franca - SP, 14401-289, Brasil","Beach Tennis,Circuito de areia,Condicionamento Físico,Musculação,Neo Pilates,Pilates","Ar condicionado,Armários,Chuveiro,Equipamentos de treino,Estacionamento,Fisioterapeuta,Loja de artigos esportivos,Nutricionista,Personal trainer,Vestiário,Wi-Fi",139.9,2025-01-25
Academia Pumping Iron Franca,Starter,"Rua Voluntários da Franca, 348 - Estacao, Franca - SP, 14405-103, Brasil",Musculação,"Ar condicionado,Chuveiro,Equipamentos de treino,Itens de higiene pessoal,Personal trainer,Vestiário,Wi-Fi",35.9,2025-01-25
My Box - Franca,Basic,"Av. Alonso Y Alonso, 730 - Jardim Veneza, Franca - SP, 14403-052, Brasil",,"Ar condicionado,Área infantil,Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Mini bar,Vestiário,Wi-Fi",59.9,2025-01-25
Crossfit Franca - Unidade 2,Silver,"Av. Ângelo Pedro, 2758 - São José, Franca - SP, 14403-416, Brasil",Crossfit,"Armários,Espaço adaptado para cadeira de rodas,Estacionamento,Vestiário",139.9,2025-01-25
Clínica Fases,Silver+,"Rua Voluntários da Franca, 2793 - São José, Franca - SP, 14403-424, Brasil","Funcional,Funcional Hiit,Mat. Pilates (solo),Pilates Fit,Pilates Gestantes,Reformer Pilates","Ar condicionado,Área infantil,Estacionamento,Fisioterapeuta,Wi-Fi",189.9,2025-01-25
Jaqueline Leonel Siqueira Coreografa,Silver,"R. Diogo Feijó, 1941 - Estacao, Franca - SP, 14405-212, Brasil","Aeróbicas,Aulas Particulares de Dança,Ballet,Dança Contemporânea,Dança de Salão,Dança Urbana,Jump,Ritmos Brasileiros,Stiletto Dance,Zumba","Área infantil,Armários,Chuveiro,Espaço adaptado para cadeira de rodas,Personal trainer,Vestiário,Wi-Fi",139.9,2025-01-25
MB Studio Fitness,Starter,"Av. Frei Germano, 1868 - Estacao, Franca - SP, 14405-215, Brasil","Abs,Circuit training,Condicionamento Físico,Core Express,Funcional,Functional Bodybuilding,Jump,Musculação,Musculação Kids,Personal Dance,Queima de Gordura,Regeneração,Wellness","Área infantil,Armários,Chuveiro,Equipamentos de treino,Espaço adaptado para cadeira de rodas,Personal trainer,Salão de beleza,Vestiário,Wi-Fi",35.9,2025-01-25
Lótus Yoga Franca,Silver,"R. México, 1309 - Jardim Consolacao, Franca - SP, 14400-100, Brasil",Yoga,,139.9,2025-01-25
